Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,26,8,52,52,77,0,0,26
102,27,5,111,111,137,0,0,27
103,45,5,178,178,222,0,0,45
104,12,5,219,223,234,4,4,16
105,29,8,238,238,266,0,0,29
106,30,6,271,271,300,0,0,30
107,23,6,319,319,341,0,0,23
108,19,7,386,386,404,0,0,19
109,24,9,449,449,472,0,0,24
110,53,6,477,477,529,0,0,53
111,25,7,498,530,589,67,32,92
112,38,8,501,590,674,136,89,174
113,35,6,548,548,582,0,0,35
114,33,5,609,609,641,0,0,33
115,14,8,629,642,655,13,13,27
116,46,6,686,686,731,0,0,46
117,59,6,717,732,790,15,15,74
118,25,8,764,811,1127,339,47,364
119,20,6,787,791,810,4,4,24
120,41,5,827,827,867,0,0,41
121,18,7,867,868,885,1,1,19
122,7,9,879,1128,1134,249,249,256
123,48,7,879,972,1019,93,93,141
124,25,3,886,886,910,0,0,25
125,31,7,898,911,941,13,13,44
126,30,7,911,942,971,31,31,61
127,45,7,980,1020,1118,94,40,139
128,45,9,1027,1135,1196,125,108,170
129,22,6,1030,1030,1051,0,0,22
130,15,6,1059,1059,1073,0,0,15
131,17,5,1092,1092,1108,0,0,17
132,17,6,1140,1140,1156,0,0,17
133,23,6,1204,1204,1226,0,0,23
134,31,6,1254,1254,1284,0,0,31
135,49,7,1285,1285,1333,0,0,49
136,33,7,1326,1334,1366,8,8,41
137,21,9,1384,1384,1404,0,0,21
138,40,6,1420,1420,1459,0,0,40
139,25,7,1468,1468,1492,0,0,25
140,36,5,1523,1523,1558,0,0,36
141,27,5,1552,1559,1585,7,7,34
142,18,8,1583,1586,1603,3,3,21
143,12,7,1620,1620,1631,0,0,12
144,19,5,1675,1675,1693,0,0,19
145,34,7,1727,1727,1760,0,0,34
146,38,6,1761,1761,1914,116,0,154
147,91,5,1776,1776,1866,0,0,91
148,25,6,1844,1867,1891,23,23,48
149,28,6,1901,1915,1942,14,14,42
150,17,7,1946,1946,1962,0,0,17
,,,,,,,,
,,,,,Min,0,0,12
,,,,,Mean,27.10,15.88,57.32
,,,,,Max,339,249,364
,,,,,StdDev,65.80,41.62,67.05
