Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,58,1,66,66,123,0,0,58
102,72,2,70,124,195,54,54,126
103,68,2,137,400,467,263,263,331
104,61,1,180,196,256,16,16,77
105,71,2,182,1065,1135,883,883,954
106,97,3,240,2285,2381,2045,2045,2142
107,58,2,253,257,314,4,4,62
108,76,3,267,2424,2499,2157,2157,2233
109,79,4,293,3229,3307,2936,2936,3015
110,85,2,294,315,399,21,21,106
111,93,6,358,3444,3536,3086,3086,3179
112,66,3,415,2145,2210,1730,1730,1796
113,70,2,438,856,925,418,418,488
114,70,1,439,468,537,29,29,99
115,58,1,490,538,595,48,48,106
116,81,2,559,926,1006,367,367,448
117,86,0,568,596,681,28,28,114
118,59,3,605,2757,2815,2152,2152,2211
119,68,1,668,682,749,14,14,82
120,26,3,706,2731,2756,2025,2025,2051
121,74,2,710,1329,1402,619,619,693
122,48,2,743,1136,1183,393,393,441
123,67,1,748,750,816,2,2,69
124,39,2,813,817,855,4,4,43
125,76,4,865,3153,3228,2288,2288,2364
126,52,3,928,2679,2730,1751,1751,1803
127,58,1,985,1007,1064,22,22,80
128,73,3,1036,3080,3152,2044,2044,2117
129,74,3,1052,3006,3079,1954,1954,2028
130,95,3,1105,2500,2594,1395,1395,1490
131,56,1,1158,1184,1239,26,26,82
132,89,1,1177,1240,1328,63,63,152
133,84,3,1238,2595,2678,1357,1357,1441
134,98,3,1307,2908,3005,1601,1601,1699
135,42,3,1372,2382,2423,1010,1010,1052
136,92,1,1389,1403,1494,14,14,106
137,53,0,1454,1495,1547,41,41,94
138,53,2,1481,1596,1648,115,115,168
139,48,1,1536,1548,1595,12,12,60
140,58,2,1588,1702,1759,114,114,172
141,53,1,1597,1649,1701,52,52,105
142,73,5,1624,3371,3443,1747,1747,1820
143,74,3,1669,2211,2284,542,542,616
144,48,2,1680,1760,1807,80,80,128
145,77,2,1705,1902,1978,197,197,274
146,63,4,1733,3308,3370,1575,1575,1638
147,74,2,1759,1979,2052,220,220,294
148,94,1,1801,1808,1901,7,7,101
149,92,2,1820,2053,2144,233,233,325
150,92,3,1865,2816,2907,951,951,1043
,,,,,,,,
,,,,,Min,0,0,43
,,,,,Mean,774.10,774.10,843.52
,,,,,Max,3086,3086,3179
,,,,,StdDev,915.04,915.04,918.57
