Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,37,8,38,38,2476,2402,0,2439
102,75,7,74,74,148,0,0,75
103,67,7,143,149,215,6,6,73
104,76,8,158,2570,2645,2412,2412,2488
105,68,8,196,216,2995,2732,20,2800
106,90,6,219,219,452,144,0,234
107,72,5,273,273,344,0,0,72
108,72,5,336,345,416,9,9,81
109,82,7,402,2115,2196,1713,1713,1795
110,50,7,445,453,1884,1390,8,1440
111,59,6,479,479,816,279,0,338
112,62,5,529,529,590,0,0,62
113,63,5,572,591,653,19,19,82
114,93,8,624,2477,2569,1853,1853,1946
115,43,8,651,3208,3250,2557,2557,2600
116,88,6,659,817,1050,304,158,392
117,84,5,661,661,744,0,0,84
118,70,8,665,2646,2715,1981,1981,2051
119,75,6,681,1276,1400,645,595,720
120,70,5,700,745,814,45,45,115
121,96,6,700,1401,1496,701,701,797
122,82,7,735,2197,2278,1462,1462,1544
123,69,7,791,1991,2059,1200,1200,1269
124,73,5,830,830,975,73,0,146
125,64,6,857,1586,1649,729,729,793
126,73,3,886,886,958,0,0,73
127,72,7,912,1789,1860,877,877,949
128,73,8,970,3089,3161,2119,2119,2192
129,89,9,988,3470,3558,2482,2482,2571
130,42,7,993,1885,1926,892,892,934
131,60,5,1051,1051,1110,0,0,60
132,68,5,1104,1111,1178,7,7,75
133,64,7,1140,1927,1990,787,787,851
134,97,5,1160,1179,1275,19,19,116
135,93,8,1225,2996,3088,1771,1771,1864
136,46,8,1269,3162,3207,1893,1893,1939
137,50,8,1274,2426,2475,1152,1152,1202
138,55,7,1283,2060,2114,777,777,832
139,88,8,1285,2338,2425,1053,1053,1141
140,89,6,1288,1497,1585,209,209,298
141,50,5,1323,1323,1372,0,0,50
142,83,8,1376,2848,2930,1472,1472,1555
143,52,9,1382,3251,3302,1869,1869,1921
144,92,9,1409,3303,3394,1894,1894,1986
145,59,7,1461,2279,2337,818,818,877
146,47,8,1505,2801,2847,1296,1296,1343
147,67,6,1522,1650,1716,128,128,195
148,75,9,1581,3395,3469,1814,1814,1889
149,85,8,1612,2716,2800,1104,1104,1189
150,72,6,1656,1717,1788,61,61,133
,,,,,,,,
,,,,,Min,0,0,50
,,,,,Mean,943.00,799.24,1013.42
,,,,,Max,2732,2557,2800
,,,,,StdDev,1585.84,838.55,1585.12
