Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,39,8,6,6,44,0,0,39
102,13,4,54,54,66,0,0,13
103,55,7,123,123,177,0,0,55
104,59,9,172,178,236,6,6,65
105,13,8,224,237,249,13,13,26
106,39,4,240,250,288,10,10,49
107,35,8,296,296,330,0,0,35
108,46,5,298,331,376,33,33,79
109,49,2,354,674,722,320,320,369
110,35,3,359,377,411,18,18,53
111,16,1,410,412,427,2,2,18
112,38,4,419,428,465,9,9,47
113,47,6,425,466,512,41,41,88
114,63,1,442,876,938,434,434,497
115,44,2,487,513,556,26,26,70
116,47,1,536,608,654,72,72,119
117,34,9,536,557,590,21,21,55
118,17,0,579,591,607,12,12,29
119,19,0,633,655,673,22,22,41
120,44,2,700,723,766,23,23,67
121,18,4,760,767,784,7,7,25
122,52,7,771,785,836,14,14,66
123,39,8,827,837,875,10,10,49
124,22,0,887,939,960,52,52,74
125,43,9,928,984,1026,56,56,99
126,23,3,954,961,983,7,7,30
127,64,0,961,1233,1296,272,272,336
128,37,3,1023,1027,1063,4,4,41
129,54,1,1062,1064,1117,2,2,56
130,49,4,1079,1118,1166,39,39,88
131,19,2,1135,1167,1185,32,32,51
132,47,7,1185,1186,1232,1,1,48
133,45,0,1245,1297,1341,52,52,97
134,75,7,1257,1914,1988,657,657,732
135,48,0,1264,1342,1389,78,78,126
136,53,2,1305,1793,1845,488,488,541
137,53,8,1353,1390,1442,37,37,90
138,51,2,1408,1498,1548,90,90,141
139,27,7,1408,1443,1469,35,35,62
140,28,2,1469,1470,1497,1,1,29
141,75,2,1537,1989,2063,452,452,527
142,52,9,1539,1549,1600,10,10,62
143,41,5,1565,1601,1641,36,36,77
144,45,3,1629,1642,1686,13,13,58
145,39,7,1665,1688,1726,23,23,62
146,41,4,1672,1727,1767,55,55,96
147,1,9,1679,1687,1687,8,8,9
148,25,2,1728,1768,1792,40,40,65
149,40,0,1796,1874,1913,78,78,118
150,28,7,1797,1846,1873,49,49,77
,,,,,,,,
,,,,,Min,0,0,9
,,,,,Mean,75.20,75.20,114.92
,,,,,Max,657,657,732
,,,,,StdDev,143.61,143.61,153.39
