Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,39,8,6,6,44,0,0,39
102,13,4,54,54,66,0,0,13
103,55,7,123,123,177,0,0,55
104,59,9,172,178,236,6,6,65
105,13,8,224,237,249,13,13,26
106,39,4,240,250,288,10,10,49
107,35,8,296,296,330,0,0,35
108,46,5,298,331,376,33,33,79
109,49,2,354,674,722,320,320,369
110,35,3,359,377,411,18,18,53
111,16,1,410,412,427,2,2,18
112,38,4,419,428,465,9,9,47
113,47,6,425,466,512,41,41,88
114,63,1,442,876,960,456,434,519
115,44,2,487,513,556,26,26,70
116,47,1,536,608,673,91,72,138
117,34,9,536,557,590,21,21,55
118,17,0,579,591,607,12,12,29
119,19,0,633,633,651,0,0,19
120,44,2,700,723,766,23,23,67
121,18,4,760,767,784,7,7,25
122,52,7,771,785,836,14,14,66
123,39,8,827,837,875,10,10,49
124,22,0,887,887,908,0,0,22
125,43,9,928,984,1026,56,56,99
126,23,3,954,961,983,7,7,30
127,64,0,961,1233,1389,365,272,429
128,37,3,1023,1027,1063,4,4,41
129,54,1,1062,1064,1117,2,2,56
130,49,4,1079,1118,1185,58,39,107
131,19,2,1135,1135,1153,0,0,19
132,47,7,1185,1186,1232,1,1,48
133,45,0,1245,1245,1289,0,0,45
134,75,7,1257,1914,1988,657,657,732
135,48,0,1264,1290,1337,26,26,74
136,53,2,1305,1793,1913,556,488,609
137,53,8,1353,1390,1469,64,37,117
138,51,2,1408,1498,1548,90,90,141
139,27,7,1408,1408,1434,0,0,27
140,28,2,1469,1470,1497,1,1,29
141,75,2,1537,1989,2063,452,452,527
142,52,9,1539,1549,1600,10,10,62
143,41,5,1565,1601,1641,36,36,77
144,45,3,1629,1642,1687,14,13,59
145,39,7,1665,1688,1726,23,23,62
146,41,4,1672,1727,1792,80,55,121
147,1,9,1679,1679,1679,0,0,1
148,25,2,1728,1728,1752,0,0,25
149,40,0,1796,1796,1863,28,0,68
150,28,7,1797,1797,1824,0,0,28
,,,,,,,,
,,,,,Min,0,0,1
,,,,,Mean,72.84,66.80,112.56
,,,,,Max,657,657,732
,,,,,StdDev,154.26,146.14,164.36
