Round Robin,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
51,37,7,7,7,43,0,0,37
52,73,8,65,65,148,11,0,84
53,58,0,131,131,206,18,0,76
54,65,4,187,193,311,60,6,125
55,18,0,229,229,268,22,0,40
56,71,1,238,240,393,85,2,156
57,76,5,303,323,515,137,20,213
58,16,1,359,378,409,35,19,51
59,27,5,399,410,480,55,11,82
60,25,6,416,421,483,43,5,68
61,28,2,468,484,565,70,16,98
62,43,7,491,495,619,86,4,129
63,51,9,514,538,746,182,24,233
64,30,6,522,549,638,87,27,117
65,40,5,570,599,753,144,29,184
66,76,1,618,650,1277,584,32,660
67,40,9,656,661,848,153,5,193
68,78,7,687,716,1685,921,29,999
69,24,8,698,727,861,140,29,164
70,2,7,711,738,739,27,27,29
71,86,4,765,798,1876,1026,33,1112
72,43,5,787,809,1134,305,22,348
73,31,4,820,820,1002,152,0,183
74,60,6,871,895,1701,771,24,831
75,55,4,889,906,1516,573,17,628
76,12,8,889,917,1025,125,28,137
77,87,8,904,928,2037,1047,24,1134
78,23,4,934,939,1168,212,5,235
79,38,3,956,1048,1532,539,92,577
80,11,6,1024,1059,1069,35,35,46
81,96,8,1055,1070,0,917,15,984
82,57,5,1078,1081,1900,766,3,823
83,95,6,1102,1202,0,882,100,937
84,34,7,1123,1213,1746,590,90,624
85,58,2,1141,1224,0,843,83,898
86,13,3,1177,1235,1400,211,58,224
87,70,6,1212,1246,0,772,34,827
88,29,8,1253,1257,1605,324,4,353
89,39,3,1270,1423,1939,631,153,670
90,13,7,1320,1434,1618,286,114,299
91,56,2,1350,1445,0,645,95,689
92,2,5,1366,1456,1457,90,90,92
93,4,6,1393,1458,1461,65,65,69
94,76,5,1405,1462,0,590,57,634
95,40,6,1474,1641,0,532,167,565
96,82,6,1543,1652,0,463,109,496
97,61,8,1604,1663,0,402,59,435
98,88,0,1667,1674,0,339,7,372
99,92,2,1698,1846,0,319,148,341
100,67,8,1735,1857,0,282,122,304
,,,,,,,,
,,,,,Min,0,0,29
,,,,,Mean,279.16,42.76,319.03
,,,,,Max,1047,167,1134
,,,,,StdDev,307.51,45.12,322.08
