Round Robin,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,7,5,70,70,76,0,0,7
102,24,4,140,140,163,0,0,24
103,37,8,235,235,281,10,0,47
104,13,3,260,265,284,12,5,25
105,3,0,305,305,307,0,0,3
106,56,6,360,360,415,0,0,56
107,25,1,455,455,499,20,0,45
108,20,1,465,465,494,10,0,30
109,15,2,510,511,525,1,1,16
110,17,5,570,570,586,0,0,17
111,29,7,585,587,615,2,2,31
112,6,0,655,655,660,0,0,6
113,14,1,675,675,688,0,0,14
114,26,0,715,715,740,0,0,26
115,48,9,740,741,826,39,1,87
116,8,2,755,761,768,6,6,14
117,28,2,775,779,834,32,4,60
118,59,0,790,809,916,68,19,127
119,33,9,840,845,907,35,5,68
120,96,0,925,925,1040,20,0,116
121,28,0,1000,1005,1048,21,5,49
122,65,4,1050,1050,1256,142,0,207
123,37,2,1050,1060,1176,90,10,127
124,99,8,1055,1070,1345,192,15,291
125,22,7,1095,1120,1208,92,25,114
126,13,3,1165,1197,1231,54,32,67
127,23,8,1220,1242,1299,57,22,80
128,56,4,1275,1287,1495,165,12,221
129,30,6,1300,1320,1415,86,20,116
130,7,1,1310,1330,1336,20,20,27
131,99,7,1320,1346,1616,198,26,297
132,29,6,1365,1386,1479,86,21,115
133,32,2,1400,1436,1537,106,36,138
134,4,2,1420,1457,1460,37,37,41
135,21,2,1510,1526,1587,57,16,78
136,19,3,1520,1538,1576,38,18,57
137,44,2,1590,1598,1650,17,8,61
138,36,1,1655,1655,1699,9,0,45
139,9,1,1670,1675,1683,5,5,14
140,39,8,1700,1700,1799,61,0,100
141,21,0,1705,1710,1780,55,5,76
142,41,6,1720,1730,1845,85,10,126
143,15,7,1735,1760,1804,55,25,70
144,36,1,1760,1781,1851,56,21,92
145,38,0,1855,1855,1892,0,0,38
146,12,0,1920,1920,1935,4,0,16
147,4,9,1930,1930,1933,0,0,4
148,37,5,1935,1936,1972,1,1,38
149,34,7,1990,1990,2040,17,0,51
150,17,3,2000,2000,2026,10,0,27
,,,,,,,,
,,,,,Min,0,0,3
,,,,,Mean,41.42,8.66,72.04
,,,,,Max,198,37,297
,,,,,StdDev,50.27,10.87,67.00
