Multilevel Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
51,90,7,19,19,108,0,0,90
52,72,8,40,118,189,78,78,150
53,9,3,59,109,117,50,50,59
54,35,9,95,1836,1870,1741,1741,1776
55,21,9,136,1871,1891,1735,1735,1756
56,69,4,170,190,258,20,20,89
57,68,8,185,1892,1959,1707,1707,1775
58,91,0,205,259,349,54,54,145
59,4,1,205,350,353,145,145,149
60,26,5,240,478,503,238,238,264
61,36,8,269,1960,1995,1691,1691,1727
62,96,5,295,504,599,209,209,305
63,85,3,346,354,438,8,8,93
64,22,7,349,1996,2017,1647,1647,1669
65,39,0,380,439,477,59,59,98
66,64,4,421,1504,1567,1083,1083,1147
67,5,4,485,1568,1572,1083,1083,1088
68,11,6,526,1573,1583,1047,1047,1058
69,73,1,551,600,672,49,49,122
70,34,0,551,673,706,122,122,156
71,50,2,577,707,756,130,130,180
72,59,1,628,757,815,129,129,188
73,10,6,663,1584,1593,921,921,931
74,86,6,714,1594,1679,880,880,966
75,77,1,752,816,892,64,64,141
76,57,7,758,2018,2074,1260,1260,1317
77,71,7,763,2075,2145,1312,1312,1383
78,24,3,768,893,916,125,125,149
79,97,3,787,917,1013,130,130,227
80,19,7,822,2146,2164,1324,1324,1343
81,43,0,886,1014,1056,128,128,171
82,31,1,890,1057,1087,167,167,198
83,19,1,922,1088,1106,166,166,185
84,3,7,942,2165,2167,1223,1223,1226
85,14,1,956,1107,1120,151,151,165
86,92,2,983,1121,1212,138,138,230
87,41,2,1030,1213,1253,183,183,224
88,63,3,1041,1254,1316,213,213,276
89,27,1,1047,1317,1343,270,270,297
90,40,3,1115,1344,1383,229,229,269
91,82,2,1128,1384,1465,256,256,338
92,34,1,1185,1466,1499,281,281,315
93,79,5,1222,1680,1758,458,458,537
94,14,7,1262,2168,2181,906,906,920
95,58,4,1329,1759,1816,430,430,488
96,86,9,1330,2182,2267,852,852,938
97,4,0,1385,1500,1503,115,115,119
98,19,6,1409,1817,1835,408,408,427
99,56,7,1455,2268,2323,813,813,869
100,63,7,1504,2324,2386,820,820,883
,,,,,,,,
,,,,,Min,0,0,59
,,,,,Mean,544.96,544.96,592.32
,,,,,Max,1741,1741,1776
,,,,,StdDev,561.37,561.37,555.51
