Multilevel Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
51,90,7,19,19,117,9,0,99
52,72,8,40,118,189,78,78,150
53,9,3,59,79,87,20,20,29
54,35,9,95,1836,1870,1741,1741,1776
55,21,9,136,1871,1891,1735,1735,1756
56,69,4,170,190,322,84,20,153
57,68,8,185,1892,1959,1707,1707,1775
58,91,0,205,220,383,88,15,179
59,4,1,205,250,253,45,45,49
60,26,5,240,478,503,238,238,264
61,36,8,269,1960,1995,1691,1691,1727
62,96,5,295,504,753,363,209,459
63,85,3,346,353,477,47,7,132
64,22,7,349,1996,2017,1647,1647,1669
65,39,0,380,384,452,34,4,73
66,64,4,421,1504,1567,1083,1083,1147
67,5,4,485,1568,1572,1083,1083,1088
68,11,6,526,1573,1583,1047,1047,1058
69,73,1,551,564,786,163,13,236
70,34,0,551,594,717,133,43,167
71,50,2,577,654,773,147,77,197
72,59,1,628,718,815,129,90,188
73,10,6,663,1584,1593,921,921,931
74,86,6,714,1594,1679,880,880,966
75,77,1,752,816,1055,227,64,304
76,57,7,758,2018,2074,1260,1260,1317
77,71,7,763,2075,2145,1312,1312,1383
78,24,3,768,846,869,78,78,102
79,97,3,787,870,1327,444,83,541
80,19,7,822,2146,2164,1324,1324,1343
81,43,0,886,930,1082,154,44,197
82,31,1,890,960,1113,193,70,224
83,19,1,922,1020,1038,98,98,117
84,3,7,942,2165,2167,1223,1223,1226
85,14,1,956,1056,1069,100,100,114
86,92,2,983,1083,1481,407,100,499
87,41,2,1030,1144,1338,268,114,309
88,63,3,1041,1174,1479,376,133,439
89,27,1,1047,1204,1230,157,157,184
90,40,3,1115,1261,1438,284,146,324
91,82,2,1128,1291,1503,294,163,376
92,34,1,1185,1339,1472,254,154,288
93,79,5,1222,1680,1758,458,458,537
94,14,7,1262,2168,2181,906,906,920
95,58,4,1329,1759,1816,430,430,488
96,86,9,1330,2182,2267,852,852,938
97,4,0,1385,1473,1476,88,88,92
98,19,6,1409,1817,1835,408,408,427
99,56,7,1455,2268,2323,813,813,869
100,63,7,1504,2324,2386,820,820,883
,,,,,,,,
,,,,,Min,9,0,29
,,,,,Mean,566.82,515.84,614.18
,,,,,Max,1741,1741,1776
,,,,,StdDev,549.63,582.04,546.04
