Multilevel Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,7,5,70,70,76,0,0,7
102,24,4,140,140,163,0,0,24
103,37,8,235,235,271,0,0,37
104,13,3,260,272,284,12,12,25
105,3,0,305,305,307,0,0,3
106,56,6,360,360,415,0,0,56
107,25,1,455,455,479,0,0,25
108,20,1,465,480,499,15,15,35
109,15,2,510,510,524,0,0,15
110,17,5,570,570,586,0,0,17
111,29,7,585,587,615,2,2,31
112,6,0,655,655,660,0,0,6
113,14,1,675,675,688,0,0,14
114,26,0,715,715,740,0,0,26
115,48,9,740,741,788,1,1,49
116,8,2,755,789,796,34,34,42
117,28,2,775,797,824,22,22,50
118,59,0,790,825,883,35,35,94
119,33,9,840,884,916,44,44,77
120,96,0,925,925,1020,0,0,96
121,28,0,1000,1021,1048,21,21,49
122,65,4,1050,1087,1151,37,37,102
123,37,2,1050,1050,1086,0,0,37
124,99,8,1055,1152,1250,97,97,196
125,22,7,1095,1264,1285,169,169,191
126,13,3,1165,1251,1263,86,86,99
127,23,8,1220,1444,1466,224,224,247
128,56,4,1275,1286,1341,11,11,67
129,30,6,1300,1349,1378,49,49,79
130,7,1,1310,1342,1348,32,32,39
131,99,7,1320,1467,1565,147,147,246
132,29,6,1365,1379,1407,14,14,43
133,32,2,1400,1408,1439,8,8,40
134,4,2,1420,1440,1443,20,20,24
135,21,2,1510,1585,1605,75,75,96
136,19,3,1520,1566,1584,46,46,65
137,44,2,1590,1606,1649,16,16,60
138,36,1,1655,1655,1690,0,0,36
139,9,1,1670,1691,1699,21,21,30
140,39,8,1700,1700,1738,0,0,39
141,21,0,1705,1739,1759,34,34,55
142,41,6,1720,1796,1836,76,76,117
143,15,7,1735,1837,1851,102,102,117
144,36,1,1760,1760,1795,0,0,36
145,38,0,1855,1855,1892,0,0,38
146,12,0,1920,1920,1931,0,0,12
147,4,9,1930,1932,1935,2,2,6
148,37,5,1935,1936,1972,1,1,38
149,34,7,1990,1990,2023,0,0,34
150,17,3,2000,2024,2040,24,24,41
,,,,,,,,
,,,,,Min,0,0,3
,,,,,Mean,29.54,29.54,60.16
,,,,,Max,224,224,247
,,,,,StdDev,47.61,47.61,56.19
