Round Robin,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,20,7,58,58,77,0,0,20
102,46,7,118,118,179,16,0,62
103,15,9,144,159,173,15,15,30
104,22,7,194,194,215,0,0,22
105,23,9,257,257,288,9,0,32
106,9,6,261,277,285,16,16,25
107,38,1,326,326,363,0,0,38
108,17,2,358,364,380,6,6,23
109,4,8,385,385,388,0,0,4
110,3,9,448,448,450,0,0,3
111,50,2,492,492,546,5,0,55
112,5,0,532,532,536,0,0,5
113,8,2,541,547,554,6,6,14
114,1,4,562,562,562,0,0,1
115,45,7,588,588,652,20,0,65
116,29,1,619,628,661,14,9,43
117,27,0,665,665,696,5,0,32
118,5,6,677,685,689,8,8,13
119,32,0,720,720,751,0,0,32
120,21,1,787,787,807,0,0,21
121,11,5,843,843,853,0,0,11
122,20,1,906,906,925,0,0,20
123,31,8,939,939,970,1,0,32
124,34,7,983,983,1016,0,0,34
125,6,9,1045,1045,1050,0,0,6
126,24,0,1069,1069,1092,0,0,24
127,41,4,1136,1136,1196,20,0,61
128,43,6,1169,1176,1318,107,7,150
129,12,7,1181,1197,1208,16,16,28
130,34,0,1192,1209,1267,42,17,76
131,5,4,1206,1249,1253,43,43,48
132,7,9,1236,1268,1274,32,32,39
133,15,9,1240,1275,1289,35,35,50
134,36,2,1245,1290,1374,94,45,130
135,6,2,1246,1310,1315,64,64,70
136,32,2,1252,1319,1404,121,67,153
137,22,3,1278,1339,1406,107,61,129
138,18,7,1311,1375,1392,64,64,82
139,2,9,1371,1407,1408,36,36,38
140,17,4,1377,1409,1425,32,32,49
141,58,7,1400,1426,1503,46,26,104
142,20,1,1466,1466,1485,0,0,20
143,16,0,1523,1524,1539,1,1,17
144,13,0,1553,1553,1565,0,0,13
145,21,3,1602,1602,1642,20,0,41
146,23,8,1604,1622,1656,30,18,53
147,11,8,1631,1643,1653,12,12,23
148,16,6,1692,1692,1707,0,0,16
149,23,5,1737,1737,1759,0,0,23
150,17,6,1794,1794,1810,0,0,17
,,,,,,,,
,,,,,Min,0,0,1
,,,,,Mean,20.86,12.72,41.94
,,,,,Max,121,67,153
,,,,,StdDev,30.91,19.79,36.68
